Subfamily,Genus,Species,Long,Lat
Hydrophiinae,Aipysurus,Aip_apr,114.3,-22.1
Hydrophiinae,Aipysurus,Aip_apr,114.3,-21.9
Hydrophiinae,Aipysurus,Aip_apr,117.2,-20.6
Hydrophiinae,Aipysurus,Aip_apr,116.7,-19.7
Hydrophiinae,Aipysurus,Aip_apr,123.3,-12
Hydrophiinae,Aipysurus,Aip_apr,122.2,-18
Hydrophiinae,Aipysurus,Aip_apr,116.7,-19.6
Hydrophiinae,Aipysurus,Aip_apr,123.08333,-12.23333
Hydrophiinae,Aipysurus,Aip_apr,114.2881,-21.9236
Hydrophiinae,Aipysurus,Aip_apr,117.1667,-20.5833
Hydrophiinae,Aipysurus,Aip_apr,114.3333,-22.0833
Hydrophiinae,Aipysurus,Aip_apr,122.9,-12.25
Hydrophiinae,Aipysurus,Aip_apr,116.6667,-19.5833
Hydrophiinae,Aipysurus,Aip_apr,114.1,-22.1
Hydrophiinae,Aipysurus,Aip_dub,151.07666,-19.673056
Hydrophiinae,Aipysurus,Aip_dub,121.83333,-14.08333
Hydrophiinae,Aipysurus,Aip_dub,116.26667,-19.65
Hydrophiinae,Aipysurus,Aip_dub,116.6333,-19.4666
Hydrophiinae,Aipysurus,Aip_dub,116.6667,-20
Hydrophiinae,Aipysurus,Aip_dub,114.116667,-22.1
Hydrophiinae,Aipysurus,Aip_dub,141.13666,-10.83333
Hydrophiinae,Aipysurus,Aip_dub,141.20833,-14.46
Hydrophiinae,Aipysurus,Aip_dub,137.49749,-15.20583
Hydrophiinae,Aipysurus,Aip_dub,140.966,-15.883
Hydrophiinae,Aipysurus,Aip_dub,137.9,-16.3333
Hydrophiinae,Aipysurus,Aip_dub,141.7167,-10.0333
Hydrophiinae,Aipysurus,Aip_dub,141.55,-12.9
Hydrophiinae,Aipysurus,Aip_dub,142.03333,-10.38333
Hydrophiinae,Aipysurus,Aip_dub,137.381667,-15.111667
Hydrophiinae,Aipysurus,Aip_dub,136.99083,-13.93666
Hydrophiinae,Aipysurus,Aip_dub,139.24675,-15.93733
Hydrophiinae,Aipysurus,Aip_dub,134.717,-11.3
Hydrophiinae,Aipysurus,Aip_dub,134.2333,-11
Hydrophiinae,Aipysurus,Aip_dub,139.300278,-15.951667
Hydrophiinae,Aipysurus,Aip_dub,141.05333,-15.88666
Hydrophiinae,Aipysurus,Aip_dub,143.47067,-11.69636
Hydrophiinae,Aipysurus,Aip_dub,143.61792,-11.73392
Hydrophiinae,Aipysurus,Aip_dub,143.5193,-11.65461
Hydrophiinae,Aipysurus,Aip_dub,143.47955,-11.62839
Hydrophiinae,Aipysurus,Aip_dub,143.5686,-11.77252
Hydrophiinae,Aipysurus,Aip_dub,143.6,-11.76667
Hydrophiinae,Aipysurus,Aip_dub,143.26317,-11.33991
Hydrophiinae,Aipysurus,Aip_dub,136.93333,-12.01666
Hydrophiinae,Aipysurus,Aip_dub,152.36667,-23.86666
Hydrophiinae,Aipysurus,Aip_dub,154.38333,-21.03333
Hydrophiinae,Aipysurus,Aip_dub,151.91666,-23.45
Hydrophiinae,Aipysurus,Aip_dub,136.16666,-14.33333
Hydrophiinae,Aipysurus,Aip_dub,153.514181,-28.952331
Hydrophiinae,Aipysurus,Aip_dub,139.233,-15.9
Hydrophiinae,Aipysurus,Aip_dub,138.183,-16.35
Hydrophiinae,Aipysurus,Aip_dub,153.66666,-21.86666
Hydrophiinae,Aipysurus,Aip_dub,146.1033889,-18.18047222
Hydrophiinae,Aipysurus,Aip_dub,136.65116,-12.94856
Hydrophiinae,Aipysurus,Aip_dub,136.85116,-13.54856
Hydrophiinae,Aipysurus,Aip_dub,151.954,-23.3389
Hydrophiinae,Aipysurus,Aip_dub,121.7482,-14.0828
Hydrophiinae,Aipysurus,Aip_dub,121.96,-14.07
Hydrophiinae,Aipysurus,Aip_dub,153.77,-21.63
Hydrophiinae,Aipysurus,Aip_dub,147.045,-18.775
Hydrophiinae,Aipysurus,Aip_dub,146.355,-17.605
Hydrophiinae,Aipysurus,Aip_dub,147.665,-19.535
Hydrophiinae,Aipysurus,Aip_dub,152.265,-21.955
Hydrophiinae,Aipysurus,Aip_dub,147.775,-19.165
Hydrophiinae,Aipysurus,Aip_dub,147.935,-19.405
Hydrophiinae,Aipysurus,Aip_dub,121.833,-14
Hydrophiinae,Aipysurus,Aip_dub,146.983,-18.75
Hydrophiinae,Aipysurus,Aip_dub,138.1,-15.8
Hydrophiinae,Aipysurus,Aip_dub,153.35,-24.95
Hydrophiinae,Aipysurus,Aip_dub,153.266667,-24.716667
Hydrophiinae,Aipysurus,Aip_dub,153.452778,-27.066667
Hydrophiinae,Aipysurus,Aip_dub,137.91667,-16.33333
Hydrophiinae,Aipysurus,Aip_dub,143,-11
Hydrophiinae,Aipysurus,Aip_dub,143.56753,-11.88196
Hydrophiinae,Aipysurus,Aip_dub,143.683333,-11.6
Hydrophiinae,Aipysurus,Aip_dub,143.683333,-11.833333
Hydrophiinae,Aipysurus,Aip_dub,145.76667,-16.86667
Hydrophiinae,Aipysurus,Aip_dub,146.66667,-18.55
Hydrophiinae,Aipysurus,Aip_dub,146.66667,-18.5
Hydrophiinae,Aipysurus,Aip_dub,153.01667,-24.7
Hydrophiinae,Aipysurus,Aip_dub,154.39,-21
Hydrophiinae,Aipysurus,Aip_dub,123.333,-11.983
Hydrophiinae,Aipysurus,Aip_dub,114.33333,-22
Hydrophiinae,Aipysurus,Aip_dub,123.0333,-12.2833
Hydrophiinae,Aipysurus,Aip_dub,114.22139,-22.12278
Hydrophiinae,Aipysurus,Aip_dub,114.4167,-21.7167
Hydrophiinae,Aipysurus,Aip_dub,136.4667,-13.2833
Hydrophiinae,Aipysurus,Aip_dub,137.7,-15.366667
Hydrophiinae,Aipysurus,Aip_dub,137.7184,-15.46908
Hydrophiinae,Aipysurus,Aip_dub,136.8683,-14.735
Hydrophiinae,Aipysurus,Aip_dub,137.8725,-15.68833
Hydrophiinae,Aipysurus,Aip_dub,137.55,-15.166667
Hydrophiinae,Aipysurus,Aip_dub,130.3333,-12.7167
Hydrophiinae,Aipysurus,Aip_dub,140.6465,-16.51717
Hydrophiinae,Aipysurus,Aip_dub,141.94166,-11.49166
Hydrophiinae,Aipysurus,Aip_dub,143.55699,-11.54988
Hydrophiinae,Aipysurus,Aip_dub,143.67326,-11.57839
Hydrophiinae,Aipysurus,Aip_dub,141.48333,-13.355
Hydrophiinae,Aipysurus,Aip_dub,143.4675,-11.53167
Hydrophiinae,Aipysurus,Aip_dub,143.61892,-11.51966
Hydrophiinae,Aipysurus,Aip_dub,166.45,-22.26667
Hydrophiinae,Aipysurus,Aip_dub,153,-22
Hydrophiinae,Aipysurus,Aip_dub,155.8,-21.266
Hydrophiinae,Aipysurus,Aip_dub,146.183,-17.083
Hydrophiinae,Aipysurus,Aip_dub,146.46667,-17.3
Hydrophiinae,Aipysurus,Aip_dub,123.08333,-12.2
Hydrophiinae,Aipysurus,Aip_dub,138.7,-16.25
Hydrophiinae,Aipysurus,Aip_dub,137.4,-15.78333
Hydrophiinae,Aipysurus,Aip_dub,146.25,-18.36666
Hydrophiinae,Aipysurus,Aip_dub,137.8283,-15.6783
Hydrophiinae,Aipysurus,Aip_dub,138.95116,-16.44854
Hydrophiinae,Aipysurus,Aip_dub,121.9422,-14.1327
Hydrophiinae,Aipysurus,Aip_dub,147.185,-19.125
Hydrophiinae,Aipysurus,Aip_dub,145.325,-14.555
Hydrophiinae,Aipysurus,Aip_dub,147.435,-19.085
Hydrophiinae,Aipysurus,Aip_dub,145.355,-14.605
Hydrophiinae,Aipysurus,Aip_dub,151.595,-23.295
Hydrophiinae,Aipysurus,Aip_dub,151.875,-23.095
Hydrophiinae,Aipysurus,Aip_dub,146.535,-17.145
Hydrophiinae,Aipysurus,Aip_dub,147.845,-18.965
Hydrophiinae,Aipysurus,Aip_dub,151.705,-23.225
Hydrophiinae,Aipysurus,Aip_dub,153.1,-30.3
Hydrophiinae,Aipysurus,Aip_dub,131.75,-11.066
Hydrophiinae,Aipysurus,Aip_dub,122.233,-17.966
Hydrophiinae,Aipysurus,Aip_dub,136.111667,-14.065
Hydrophiinae,Aipysurus,Aip_dub,125.05,-14.88
Hydrophiinae,Aipysurus,Aip_dub,153.084114,-25.681876
Hydrophiinae,Aipysurus,Aip_dub,153.25278,-25.23667
Hydrophiinae,Aipysurus,Aip_dub,146.878954,-19.120604
Hydrophiinae,Aipysurus,Aip_dub,137.69667,-15.52833
Hydrophiinae,Aipysurus,Aip_dub,153.1,-25.6
Hydrophiinae,Aipysurus,Aip_dub,148.25,-20.016667
Hydrophiinae,Aipysurus,Aip_dub,146.416667,-18.65
