Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Acalyptophis,Aca_per,3.306424,Lower,B_Bma,Max
Hydrophinnae,Acalyptophis,Aca_per,31.715296,Upper,B_Bma,Max
Hydrophinnae,Acalyptophis,Aca_per,3.306424,Lower,B_Bme,Max
Hydrophinnae,Acalyptophis,Aca_per,31.697572,Upper,B_Bme,Max
Hydrophinnae,Acalyptophis,Aca_per,3.318004,Lower,B_Bmi,Max
Hydrophinnae,Acalyptophis,Aca_per,31.719376,Upper,B_Bmi,Max
Hydrophinnae,Acalyptophis,Aca_per,26.626873,Lower,B_Surf,Max
Hydrophinnae,Acalyptophis,Aca_per,31.661812,Upper,B_Surf,Max
Hydrophinnae,Acalyptophis,Aca_per,25,Lower,M_Surf,Max
Hydrophinnae,Acalyptophis,Aca_per,31.04,Upper,M_Surf,Max
Hydrophinnae,Acalyptophis,Aca_per,3.298203945,Lower,B_Bma,Mean
Hydrophinnae,Acalyptophis,Aca_per,28.41171455,Upper,B_Bma,Mean
Hydrophinnae,Acalyptophis,Aca_per,3.298203945,Lower,B_Bme,Mean
Hydrophinnae,Acalyptophis,Aca_per,28.63673019,Upper,B_Bme,Mean
Hydrophinnae,Acalyptophis,Aca_per,3.305176973,Lower,B_Bmi,Mean
Hydrophinnae,Acalyptophis,Aca_per,28.62757492,Upper,B_Bmi,Mean
Hydrophinnae,Acalyptophis,Aca_per,23.11631012,Lower,B_Surf,Mean
Hydrophinnae,Acalyptophis,Aca_per,29.34171867,Upper,B_Surf,Mean
Hydrophinnae,Acalyptophis,Aca_per,21.49,Lower,M_Surf,Mean
Hydrophinnae,Acalyptophis,Aca_per,28.48,Upper,M_Surf,Mean
Hydrophinnae,Acalyptophis,Aca_per,17.5,Lower,M_Surf,Min
Hydrophinnae,Acalyptophis,Aca_per,27.75,Upper,M_Surf,Min
Hydrophinnae,Acalyptophis,Aca_per,3.291564,Lower,B_Bma,Min
Hydrophinnae,Acalyptophis,Aca_per,25.486836,Upper,B_Bma,Min
Hydrophinnae,Acalyptophis,Aca_per,3.291564,Lower,B_Bme,Min
Hydrophinnae,Acalyptophis,Aca_per,25.579453,Upper,B_Bme,Min
Hydrophinnae,Acalyptophis,Aca_per,3.29485,Lower,B_Bmi,Min
Hydrophinnae,Acalyptophis,Aca_per,25.654135,Upper,B_Bmi,Min
Hydrophinnae,Acalyptophis,Aca_per,18.352158,Lower,B_Surf,Min
Hydrophinnae,Acalyptophis,Aca_per,28.283028,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_apr,8.090838,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_apr,31.449986,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_apr,10.378782,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_apr,31.661,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_apr,16.697733,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_apr,31.447212,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_apr,30.429319,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_apr,31.678247,Upper,B_Surf,Max
